date,airTemperature,cloudCover,currentDirection,currentSpeed,humidity,precipitation,pressure,seaLevel,visibility,waterTemperature,waveDirection,waveHeight,wavePeriod,windDirection,windSpeed
2021-09-29T08:00:00+00:00,17.41,0.0,114.34,0.25,60.03,0.0,1021.43,-0.17,24.13,15.32,219.47,2.97,10.88,135.36,11.41
2021-09-30T08:00:00+00:00,16.87,67.33,97.08,0.15,56.47,0.0,1018.39,-0.32,24.14,15.03,193.17,2.54,10.04,122.18,9.16
2021-10-01T08:00:00+00:00,16.64,79.53,111.04,0.14,80.17,0.04,1015.37,-0.27,24.13,14.81,183.04,2.0,7.65,147.51,10.75
2021-10-02T08:00:00+00:00,14.39,64.43,113.13,0.26,55.17,0.01,1019.4,-0.28,24.13,14.93,210.36,2.61,8.27,171.42,9.93
2021-10-03T08:00:00+00:00,14.04,29.37,106.49,0.3,48.23,0.02,1023.34,-0.28,24.13,14.99,222.55,1.95,10.66,123.71,5.2
2021-10-04T08:00:00+00:00,15.44,0.0,99.68,0.34,47.53,0.0,1023.75,-0.27,24.14,15.06,201.95,1.89,8.74,130.17,9.01
2021-10-05T08:00:00+00:00,17.31,0.0,115.35,0.29,46.73,0.0,1017.6,-0.32,24.14,14.98,163.32,1.42,7.82,134.55,3.96
2021-10-06T08:00:00+00:00,18.88,30.93,106.38,0.24,56.67,0.0,1015.81,-0.33,24.14,15.16,154.42,1.53,7.54,132.42,8.19
2021-10-07T08:00:00+00:00,21.92,33.33,226.17,0.03,43.67,0.0,1009.9,-0.2,24.13,15.32,200.96,1.4,10.3,347.39,3.43
2021-10-08T08:00:00+00:00,16.87,97.67,213.44,0.08,62.37,0.0,1015.07,-0.26,24.13,15.23,296.33,1.6,7.53,348.01,9.93
